"Order";"Concept";"Views";"Comments";"Applause";"Shortlist";"Shortlist.views";"Shortlist.comments";"Shortlist.applause";"Winner"
"1";1;"concept_11";215;10;18;0;0;0;0;0
"2";2;"concept_83";97;1;2;0;0;0;0;0
"3";3;"concept_2";225;15;12;1;0;0;0;0
"4";4;"concept_87";677;3;2;1;0;0;0;0
"5";5;"concept_18";477;12;11;1;0;0;0;0
"6";6;"concept_53";93;3;2;0;0;0;0;0
"7";7;"concept_36";138;1;2;0;0;0;0;0
"8";8;"concept_49";140;4;2;0;0;0;0;0
"9";9;"concept_20";432;11;13;1;0;0;0;0
"10";10;"concept_64";410;7;9;1;0;0;0;0
"11";11;"concept_34";676;29;22;0;0;0;0;0
"12";12;"concept_60";101;2;2;0;0;0;0;0
"13";13;"concept_15";166;2;8;0;0;0;0;0
"14";14;"concept_44";173;12;4;1;0;0;0;0
"15";15;"concept_13";321;8;4;1;0;0;0;0
"16";16;"concept_89";112;3;2;0;0;0;0;0
"17";17;"concept_95";306;5;12;1;0;0;0;0
"18";18;"concept_38";196;10;7;0;0;0;0;0
"19";19;"concept_63";120;3;6;0;0;0;0;0
"20";20;"concept_10";134;0;1;0;0;0;0;0
"21";21;"concept_54";343;5;4;0;0;0;0;0
"22";22;"concept_37";264;26;9;0;0;0;0;0
"23";23;"concept_66";175;6;2;0;0;0;0;0
"24";24;"concept_93";376;12;7;1;0;0;0;0
"25";25;"concept_77";582;12;6;1;0;0;0;0
"26";26;"concept_58";169;6;8;0;0;0;0;0
"27";27;"concept_31";391;13;11;1;0;0;0;0
"28";28;"concept_57";275;2;1;0;0;0;0;0
"29";29;"concept_51";147;6;5;0;0;0;0;0
"30";30;"concept_71";115;2;2;0;0;0;0;0
"31";31;"concept_90";91;3;2;0;0;0;0;0
"32";32;"concept_56";86;4;3;0;0;0;0;0
"33";33;"concept_6";91;5;4;0;0;0;0;0
"34";34;"concept_45";66;2;10;0;0;0;0;0
"35";35;"concept_61";337;11;5;0;0;0;0;0
"36";36;"concept_16";199;16;8;1;0;0;0;0
"37";37;"concept_72";78;3;2;0;0;0;0;0
"38";38;"concept_92";586;14;23;1;0;0;0;0
"39";39;"concept_27";416;9;12;0;0;0;0;0
"40";40;"concept_25";71;2;5;0;0;0;0;0
"41";41;"concept_69";110;11;3;0;0;0;0;0
"42";42;"concept_88";361;11;5;1;0;0;0;0
"43";43;"concept_91";303;2;4;0;0;0;0;0
"44";44;"concept_12";92;3;6;0;0;0;0;0
"45";45;"concept_19";28;0;3;0;0;0;0;0
"46";46;"concept_55";62;4;3;0;0;0;0;0
"47";47;"concept_84";115;7;7;0;0;0;0;0
"48";48;"concept_5";352;4;6;1;0;0;0;0
"49";49;"concept_94";76;2;2;0;0;0;0;0
"50";50;"concept_52";81;6;4;1;0;0;0;0
"51";51;"concept_70";78;0;5;0;0;0;0;0
"52";52;"concept_81";332;7;9;0;0;0;0;0
"53";53;"concept_65";56;1;3;0;0;0;0;0
"54";54;"concept_85";87;2;5;0;0;0;0;0
"55";55;"concept_59";73;4;7;0;0;0;0;0
"56";56;"concept_22";41;1;3;0;0;0;0;0
"57";57;"concept_4";63;3;1;0;0;0;0;0
"58";58;"concept_23";115;7;10;0;0;0;0;0
"59";59;"concept_3";82;9;3;0;0;0;0;0
"60";60;"concept_68";34;0;2;0;0;0;0;0
"61";61;"concept_62";77;2;2;0;0;0;0;0
"62";62;"concept_46";47;0;2;0;0;0;0;0
"63";63;"concept_30";37;1;0;0;0;0;0;0
"64";64;"concept_21";31;1;2;0;0;0;0;0
"65";65;"concept_17";57;1;3;1;0;0;0;0
"66";66;"concept_47";35;2;3;0;0;0;0;0
"67";67;"concept_39";33;0;3;0;0;0;0;0
"68";68;"concept_26";105;6;9;0;0;0;0;0
"69";69;"concept_14";54;2;7;0;0;0;0;0
"70";70;"concept_33";102;4;4;1;0;0;0;0
"71";71;"concept_9";74;4;3;0;0;0;0;0
"72";72;"concept_42";304;8;3;1;0;0;0;0
"73";73;"concept_48";51;0;7;0;0;0;0;0
"74";74;"concept_79";62;4;4;0;0;0;0;0
"75";75;"concept_40";54;5;5;0;0;0;0;0
"76";76;"concept_80";217;2;2;0;0;0;0;0
"77";77;"concept_1";48;5;3;0;0;0;0;0
"78";78;"concept_50";45;6;1;0;0;0;0;0
"79";79;"concept_24";28;1;1;0;0;0;0;0
"80";80;"concept_78";25;0;2;0;0;0;0;0
"81";81;"concept_74";60;3;4;0;0;0;0;0
"82";82;"concept_43";52;2;4;0;0;0;0;0
"83";83;"concept_86";206;5;2;1;0;0;0;0
"84";84;"concept_32";66;0;2;0;0;0;0;0
"85";85;"concept_29";23;3;3;0;0;0;0;0
"86";86;"concept_41";42;2;2;0;0;0;0;0
"87";87;"concept_28";46;2;3;0;0;0;0;0
"88";88;"concept_7";42;5;7;0;0;0;0;0
"89";89;"concept_67";13;0;2;0;0;0;0;0
"90";90;"concept_82";22;1;3;0;0;0;0;0
"91";91;"concept_8";15;0;3;0;0;0;0;0
"92";92;"concept_75";31;2;5;0;0;0;0;0
"93";93;"concept_73";21;0;3;0;0;0;0;0
"94";94;"concept_35";43;0;1;0;0;0;0;0
"95";95;"concept_76";41;4;2;0;0;0;0;0
