"Order";"Concept";"Views";"Comments";"Applause";"Shortlist";"Shortlist.views";"Shortlist.comments";"Shortlist.applause";"Winner"
"1";1;"concept_73";596;19;11;0;NA;NA;NA;0
"2";2;"concept_60";696;26;25;0;NA;NA;NA;0
"3";3;"concept_58";225;3;7;0;NA;NA;NA;0
"4";4;"concept_35";394;28;36;1;581;33;45;0
"5";5;"concept_86";309;15;15;1;471;17;21;1
"6";6;"concept_106";242;15;11;0;NA;NA;NA;0
"7";7;"concept_95";540;15;15;1;723;19;18;0
"8";8;"concept_70";454;16;17;0;NA;NA;NA;0
"9";9;"concept_26";244;9;8;0;NA;NA;NA;0
"10";10;"concept_18";217;10;6;0;NA;NA;NA;0
"11";11;"concept_52";186;10;6;0;NA;NA;NA;0
"12";12;"concept_96";197;0;3;0;NA;NA;NA;0
"13";13;"concept_90";384;11;5;0;NA;NA;NA;0
"14";14;"concept_24";162;1;3;0;NA;NA;NA;0
"15";15;"concept_4";433;6;6;0;NA;NA;NA;0
"16";16;"concept_75";270;3;6;0;NA;NA;NA;0
"17";17;"concept_104";215;15;9;0;NA;NA;NA;0
"18";18;"concept_78";243;7;7;1;486;23;13;1
"19";19;"concept_89";163;8;6;0;NA;NA;NA;0
"20";20;"concept_28";240;7;11;0;NA;NA;NA;0
"21";21;"concept_43";375;7;7;0;NA;NA;NA;0
"22";22;"concept_62";165;2;4;0;NA;NA;NA;0
"23";23;"concept_19";268;16;7;0;NA;NA;NA;0
"24";24;"concept_61";252;6;4;1;461;12;12;1
"25";25;"concept_37";240;10;5;0;NA;NA;NA;0
"26";26;"concept_92";820;12;16;1;1228;40;22;1
"27";27;"concept_20";197;6;2;0;NA;NA;NA;0
"28";28;"concept_47";150;4;3;0;NA;NA;NA;0
"29";29;"concept_76";157;1;4;0;NA;NA;NA;0
"30";30;"concept_100";377;19;10;0;NA;NA;NA;0
"31";31;"concept_38";424;12;6;1;711;25;10;1
"32";32;"concept_97";184;10;2;0;NA;NA;NA;0
"33";33;"concept_64";336;5;7;0;NA;NA;NA;0
"34";34;"concept_85";366;8;18;1;507;13;26;0
"35";35;"concept_91";139;6;3;0;NA;NA;NA;0
"36";36;"concept_21";561;15;17;1;845;23;29;1
"37";37;"concept_6";481;10;21;1;738;16;36;1
"38";38;"concept_46";149;7;11;0;NA;NA;NA;0
"39";39;"concept_101";217;9;7;0;NA;NA;NA;0
"40";40;"concept_22";421;2;15;0;NA;NA;NA;0
"41";41;"concept_84";322;6;15;0;NA;NA;NA;0
"42";42;"concept_77";260;15;6;1;423;17;9;0
"43";43;"concept_48";137;1;4;0;NA;NA;NA;0
"44";44;"concept_40";162;5;7;0;NA;NA;NA;0
"45";45;"concept_8";136;4;1;0;NA;NA;NA;0
"46";46;"concept_3";123;6;3;0;NA;NA;NA;0
"47";47;"concept_68";145;6;5;0;NA;NA;NA;0
"48";48;"concept_25";147;6;3;0;NA;NA;NA;0
"49";49;"concept_63";168;10;4;0;NA;NA;NA;0
"50";50;"concept_51";212;23;11;0;NA;NA;NA;0
"51";51;"concept_34";162;12;5;0;NA;NA;NA;0
"52";52;"concept_31";388;7;5;0;NA;NA;NA;0
"53";53;"concept_93";719;16;34;0;NA;NA;NA;0
"54";54;"concept_55";130;0;4;0;NA;NA;NA;0
"55";55;"concept_30";111;1;1;0;NA;NA;NA;0
"56";56;"concept_103";109;0;1;0;NA;NA;NA;0
"57";57;"concept_57";521;24;8;0;NA;NA;NA;0
